t,t_norm,snr_linear,snr_cosine,snr_cosine_match_linear
404,0.4044044044044044,0.23056115210056305,1.777886152267456,2.3044145107269287
405,0.40540540540540543,0.2282482236623764,1.7663829326629639,2.2900900840759277
406,0.4064064064064064,0.22595717012882233,1.7549631595611572,2.275869131088257
407,0.4074074074074074,0.22368784248828888,1.743627905845642,2.2617526054382324
408,0.4084084084084084,0.22143995761871338,1.732376217842102,2.24773907661438
409,0.4094094094094094,0.2192133218050003,1.7212061882019043,2.2338266372680664
410,0.41041041041041043,0.21700775623321533,1.710118055343628,2.220015048980713
411,0.4114114114114114,0.21482308208942413,1.6991097927093506,2.2063026428222656
412,0.4124124124124124,0.2126590609550476,1.6881824731826782,2.1926894187927246
413,0.4134134134134134,0.21051545441150665,1.6773334741592407,2.179173231124878
414,0.4144144144144144,0.20839214324951172,1.666563630104065,2.165755033493042
415,0.41541541541541543,0.2062889039516449,1.6558712720870972,2.1524317264556885
416,0.4164164164164164,0.20420555770397186,1.6452564001083374,2.139204263687134
417,0.4174174174174174,0.2021418660879135,1.634716510772705,2.1260697841644287
418,0.4184184184184184,0.20009766519069672,1.624253273010254,2.113030195236206
419,0.4194194194194194,0.19807277619838715,1.6138651371002197,2.100083112716675
420,0.42042042042042044,0.19606703519821167,1.6035499572753906,2.087226152420044
421,0.4214214214214214,0.19408023357391357,1.5933098793029785,2.0744619369506836
422,0.42242242242242245,0.19211219251155853,1.5831413269042969,2.0617854595184326
423,0.42342342342342343,0.1901627480983734,1.5730462074279785,2.0491998195648193
424,0.4244244244244244,0.1882316917181015,1.5630215406417847,2.0367019176483154
425,0.42542542542542544,0.18631888926029205,1.5530683994293213,2.024291753768921
426,0.4264264264264264,0.18442414700984955,1.5431849956512451,2.011967420578003
427,0.42742742742742745,0.18254731595516205,1.5333716869354248,1.9997303485870361
428,0.42842842842842843,0.18068820238113403,1.5236274003982544,1.9875779151916504
429,0.4294294294294294,0.17884664237499237,1.5139509439468384,1.9755088090896606
430,0.43043043043043044,0.17702247202396393,1.5043420791625977,1.9635237455368042
431,0.4314314314314314,0.17521555721759796,1.4948004484176636,1.9516212940216064
432,0.43243243243243246,0.17342570424079895,1.4853253364562988,1.9398012161254883
433,0.43343343343343343,0.17165277898311615,1.4759165048599243,1.928063154220581
434,0.4344344344344344,0.16989658772945404,1.4665724039077759,1.9164047241210938
435,0.43543543543543545,0.16815701127052307,1.4572935104370117,1.9048261642456055
436,0.4364364364364364,0.16643385589122772,1.4480777978897095,1.8933262825012207
437,0.43743743743743746,0.16472701728343964,1.438926339149475,1.881905198097229
438,0.43843843843843844,0.1630363017320633,1.4298381805419922,1.8705626726150513
439,0.4394394394394394,0.16136157512664795,1.420811414718628,1.8592958450317383
440,0.44044044044044045,0.15970270335674286,1.411847472190857,1.8481065034866333
441,0.44144144144144143,0.1580595225095749,1.4029446840286255,1.8369925022125244
442,0.44244244244244246,0.1564319133758545,1.394102692604065,1.8259538412094116
443,0.44344344344344344,0.15481968224048615,1.3853214979171753,1.814989447593689
444,0.4444444444444444,0.1532227247953415,1.3765990734100342,1.804098129272461
445,0.44544544544544545,0.1516408920288086,1.3679372072219849,1.793280839920044
446,0.44644644644644643,0.1500740647315979,1.3593331575393677,1.7825353145599365
447,0.44744744744744747,0.1485220491886139,1.3507872819900513,1.7718615531921387
448,0.44844844844844844,0.1469847857952118,1.3422991037368774,1.7612589597702026
449,0.4494494494494494,0.1454620659351349,1.3338687419891357,1.7507271766662598
450,0.45045045045045046,0.1439538151025772,1.3254942893981934,1.7402647733688354
451,0.45145145145145144,0.14245985448360443,1.317176342010498,1.729872226715088
452,0.45245245245245247,0.14098010957241058,1.3089144229888916,1.7195485830307007
453,0.45345345345345345,0.13951438665390015,1.3007073402404785,1.7092926502227783
454,0.4544544544544545,0.13806258141994476,1.292555332183838,1.6991046667099
455,0.45545545545545546,0.13662460446357727,1.2844575643539429,1.6889830827713013
456,0.45645645645645644,0.13520027697086334,1.276414155960083,1.6789289712905884
457,0.4574574574574575,0.13378949463367462,1.268423318862915,1.6689395904541016
458,0.45845845845845845,0.13239213824272156,1.2604862451553345,1.659016489982605
459,0.4594594594594595,0.1310080885887146,1.2526017427444458,1.6491576433181763
460,0.46046046046046046,0.1296372264623642,1.244768500328064,1.6393624544143677
461,0.46146146146146144,0.1282794177532196,1.2369868755340576,1.6296312808990479
462,0.4624624624624625,0.12693455815315247,1.2292574644088745,1.6199642419815063
463,0.46346346346346345,0.12560251355171204,1.2215787172317505,1.6103590726852417
464,0.4644644644644645,0.12428318709135056,1.2139497995376587,1.6008155345916748
465,0.46546546546546547,0.12297645211219788,1.2063707113265991,1.5913335084915161
